Grupo;Preferncia;Día;Inicio;Fin;Escenario;Relevancia;Procedencia;Descripción
BROTHERS TILL WE DIE;TRUE;viernes, 5;16:15;16:55;Main;4;Madrid;Es hardcore, ya los ví en el wolfest, pero no son mi prioridad. No dejan de estar guay
JUST;FALSE;viernes, 5;16:15;16:55;Chaos;;España??
CHILDRAIN;TRUE;viernes, 5;16:55;17:35;Ritual;5;Vitoria;Death metal melódico, así que guay.
NEILA;FALSE;viernes, 5;16:55;17:35;Desert;5;Bilbao;Esto está bastante mejor de lo que he estado escuchando. Puede que me lo guarde. Es un metal casi progresivo, las voces casi están de acompañamiento. Habrá que seguir escuchando. Me pregunto con qué coincidirá, pero sería una pena no poder verlos.
WHILE SHE SLEEPS;TRUE;viernes, 5;17:35;18:30;Main;4;Inglaterra;Están bien, aunque no es algo que escucharía en mi casa, tienen pinta de tener buen directo.
THE BLACK PANTHYS PARTY;;viernes, 5;17:40;18:20;Chaos;2;Asturias;Punk asturiano bastante guarro. Supongo que tienen movimiento. Las letras son bastante pobres
SANTO ROSTRO;TRUE;viernes, 5;18:20;19:05;Desert;5;Jaén;Stoner pero muy bestia, muy buenos
WORMED;FALSE;viernes, 5;18:30;19:15;Ritual;2;Madrid;Black metal, no me va el rollo éste de meter ruido sin más.
MUTE;FALSE;viernes, 5;19:00;19:50;Chaos;2;Canadá;Punk demasiado alegre…
TRIVIUM;TRUE;viernes, 5;19:15;20:15;Main;5;EEUU – Florida;Estos los voy a ir a ver sí o sí, así que…
WET CACTUS;TRUE;viernes, 5;19:50;20:40;Desert;5;Cantabria;Stone rock, creo recordar que eran buenos. Sí, lo son
SERRABULHO;FALSE;viernes, 5;20:15;21:00;Ritual;3;Portugal;Death metal. Al tío no se le entiende. Tengo que escuchar más. Se supone que son graciosos porque hacen ruidos de animales, pero no me atraen demasiado.
BIRDS IN ROW;FALSE;viernes, 5;20:50;21:40;Chaos;3;Francia;Hardcore que se basa en ir rápido y gritar mucho… Supongo que tienen fuerza y puede llegar a ser medio disfrutable
ARCH ENEMY;TRUE;viernes, 5;21:00;22:00;Main;5;Suecia;Pues eso, la música es buena, pero pierden en los estribillos. Death Metal tirando a Power
THE BLACK WIZARDS;FALSE;viernes, 5;21:25;22:25;Desert;4;Portugal;Las voces femeninas siempre quedan bien en el rock. Aun así, la música parece algo genérica.
AVATAR;TRUE;viernes, 5;22:00;23:00;Ritual;5;Suecia;Death metal con un toque creepy muy chulo
MILLENCOLIN;FALSE;viernes, 5;22:30;23:20;Chaos;1;Suecia;Rock americano a lo Green Day. Aburrido como pocas cosas.
SLIPKNOT;TRUE;viernes, 5;23:00;00:30;Main;5;EEUU – Iowa;Quitando que son un poco estribillieros, están guay y tienen temazos y buena escenografía.
THE OCEAN;FALSE;viernes, 5;23:25;00:25;Desert;5;Alemania;Tienen muy buena pinta. Ritmos interesantes y mucha fuerza mezclando guturales con coros melódicos.
CRADLE OF FILTH;;viernes, 5;00:30;01:30;Ritual;3;Inglaterra;Gothic metal
CONVERGE;;viernes, 5;00:30;01:30;Chaos;3;EEUU - Massachusetts;Por una parte me gustan los riffs amargos de guitarra, por otra la voz gutural cutre me hace pensar en gente que sólo quiere parecer desquiciada. No me llaman demasiado, la verdad.
RADIO MOSCOW;FALSE;viernes, 5;01:25;02:25;Desert;3;EEUU – Iowa;Tiene un toque a lo Jimmy Hendrix en plan psicodélico. Supongo que puede estar bien para relajar
CRISIX;TRUE;viernes, 5;01:30;02:30;Main;5;Barcelona;Los putos Crisix. Booom
VENOM PRISON;TRUE;viernes, 5;02:00;03:00;Chaos;4;Gales;Empieza bien, buenos riff. Death metal, creo.
Band contest;TRUE;sábado, 6;14:00;14:30;Chaos
PERPETUAL NIGHT;TRUE;sábado, 6;14:30;15:05;Ritual;5;Granada;Similares a insomnium, de momento guay. Dónde ha estado este grupo antes??
CORDURA;FALSE;sábado, 6;14:30;15:00;Desert;        ;Euskadi;Instrumental tranquilo pero interesante. No es instrumental, pero tienen la temática de física que está bien
LESS FORTUNATE SONGS;TRUE;sábado, 6;15:00;15:30;Chaos;2;A Coruña;Parece punk… veremos a ver al final del disco. Sí es punk algo variado. Por suerte tocan a primera hora.
SYBERIA;TRUE;sábado, 6;15:35;16:10;Desert;5;Barcelona;Me han parecido similares a Alcest pero instrumental, me los guardo
TALESIEN;FALSE;sábado, 6;15:35;16:10;Ritual;2;A Coruña;Estilo Avalanch. Bastante aburridillo y pastoso.
CELTIBEERIAN;TRUE;sábado, 6;16:10;16:50;Main;4;Ciudad Real;Folk rock, esto siempre es una fiesta. Folk metal, va a ser divertido
MORGEN;FALSE;sábado, 6;16:10;16:50;Chaos;3;Galicia;Punk rock movido. Son gallegos cantando en Inglés y con mucho acento. Tiene wooos wooos y eso es un poco mierda…
CATHEXIA;;sábado, 6;16:45;17:25;Desert;4;Asturias;Death metal rapidillo, casi thrash. Demasiado gutural y monótono quizás para mi gusto, pero puede estar bien.
STRIKEBACK;;sábado, 6;16:50;17:35;Ritual;4;A Coruña;Las canciones suenan un poco parecidas entre sí, pero le meten caña. Pueden estar bien,
CLOSE TO THE SKY;FALSE;sábado, 6;17:25;18:05;Chaos;3;Madrid;Hardcore con toques de electrónica. No están mal, pero no es mi rollo. Tienen pinta de ser disfrutable haciendo trampas.
ALIEN WEAPONRY;TRUE;sábado, 6;17:30;18:20;Main;5;Nueva Zelanda;Oh Dios!!! Metal maoi!!!
ATAVISMO;;sábado, 6;18:05;18:50;Desert;4;Cádiz;Una fusión interesante entre jazz y flamenco, o eso parece.
VHÄLDEMAR;;sábado, 6;18:20;19:00;Ritual;4;Vizkaya;Power metal, que nunca viene mal para variar
ERASO!;FALSE;sábado, 6;18:50;19:35;Chaos;3;Guipuzkoa;Bueno... Son bastante… Intento de nirvana o algo así en vasco? A veces tienen buenos riffs… Pero son aburridillos.
TESTAMENT;TRUE;sábado, 6;19:00;20:00;Main;5;EEUU – California;Thrash metal. Les falta un poco de fuerza en mi humilde opinión, pero forman parte de los que montaron el tinglado así que tienen excusa. Y parecen mejores que Metallica
COBRA;;sábado, 6;19:50;20:50;Desert;4;Bilbao;Pueden estar bien, necesito escuchar. Parece bastante genérico y la voz queda rara sobre la música, pero puede ser lo suficiente interesante y distinto de algo como puede ser el Ritual. Hay cachos de canciones que abandonan el rock más genérico, metiéndole algo de melodía.
TBA;;sábado, 6;20:00;20:45;Ritual
LAMB OF GOD;TRUE;sábado, 6;20:45;22:00;Main;5;EEUU – Virginia;Uno de estos grupos que tenía que haber escuchado hace mucho. Me alegro de tener esta excusa y oportunidad. Son brutales
BRUTALITY WILL PREVAIL;FALSE;sábado, 6;20:50;21:50;Chaos;4;Gales;Hardcore un pelín genérico, pero guay. Tira a ritmos lentos pero potentes.
BERRI TXARRAK;TRUE;sábado, 6;22:00;23:00;Ritual;4;Navarra;Nunca me atrayeron demasiado, pero puede tener buen ambiente
TROUBLED HORSE;;sábado, 6;22:00;23:00;Desert;4;Suecia;Son como rock clásico. No están mal, dependiendo de con quien coincida puede ser un buen concierto.
WITHIN TEMPTATION;;sábado, 6;23:00;00:30;Main;3;Holanda;Meh. Tienen alguna canción entretenida
ANALEPSY;;sábado, 6;23:30;00:30;Chaos;3,5;Portugal;Brutal Death Metal. Esto de que al tío no se le entiende. La música es buena, eso sí.
CULT OF LUNA;TRUE;sábado, 6;00:30;01:30;Ritual;5;Suecia;Guturales con música muy zen. No estan nada mal. Insisto, son muy buenos. Aunque la canción que estoy escuchando ahora canta una tal Julie Christmas que le da un toque brutal.
COLOUR HAZE;FALSE;sábado, 6;00:30;01:30;Desert;3;Alemania;Aburridillos. Tocan Stone Rock. Puede ser ideal si estás fumado, pero no es el caso.
NASTY;FALSE;sábado, 6;01:20;02:20;Chaos;4;Bélgica;No están mal, en cierto modo es casi Thrash. Pero es Hardcore y se nota en las bajadas de ritmo.
KING DIAMOND;TRUE;sábado, 6;01:30;02:45;Main;5;Dinamarca;Heavy Metal puro en plan teatro. El cantante es un pasote.
MISS LAVA;TRUE;sábado, 6;02:00;03:00;Desert;4;Portugal;Es casi glam, pero sin la pluma. No están mal, aunque viendo a la hora que es… ya puedo estar puesto de monster para aguantar…
